Epoch,Accuracy,TrainLoss
1,9.375,2.33359
2,25,2.23359
3,43.75,2.07193
4,50,1.92703
5,46.875,1.99108
6,34.375,1.97537
7,71.875,1.56721
8,56.25,1.72913
9,59.375,1.69622
10,68.75,1.39342
11,71.875,1.41346
12,75,1.30472
13,78.125,1.30208
14,84.375,1.11827
15,78.125,1.09318
16,62.5,1.46242
17,68.75,1.2744
18,87.5,0.868665
19,65.625,1.19422
20,59.375,1.2269
21,62.5,1.12718
22,81.25,0.76496
23,68.75,0.902084
24,65.625,0.890189
25,71.875,0.847105
26,87.5,0.573895
27,78.125,0.836563
28,78.125,0.775787
29,71.875,0.903826
30,71.875,0.768464
31,84.375,0.577911
32,71.875,0.677599
33,71.875,0.723251
34,78.125,0.852314
35,78.125,0.724402
36,68.75,0.960277
37,90.625,0.401443
38,81.25,0.405791
39,75,0.951182
40,84.375,0.518683
41,84.375,0.524672
42,81.25,0.564741
43,81.25,0.840361
44,78.125,0.646557
45,84.375,0.505607
46,93.75,0.367795
47,90.625,0.38838
48,84.375,0.646626
49,87.5,0.512573
50,90.625,0.435057
51,81.25,0.530611
52,78.125,0.641528
53,87.5,0.539301
54,93.75,0.263113
55,93.75,0.350423
56,90.625,0.482279
57,87.5,0.463563
58,87.5,0.355946
59,84.375,0.558173
60,75,0.486177
61,84.375,0.524849
62,84.375,0.462526
63,90.625,0.324676
64,78.125,0.51041
65,87.5,0.479668
66,90.625,0.504217
67,87.5,0.272675
68,96.875,0.176038
69,90.625,0.324273
70,87.5,0.423019
71,90.625,0.187151
72,90.625,0.337372
73,93.75,0.351312
74,93.75,0.230286
75,87.5,0.471094
76,78.125,0.702852
77,81.25,0.416161
78,93.75,0.282634
79,93.75,0.164962
80,96.875,0.267516
81,90.625,0.252532
82,81.25,0.464683
83,81.25,0.467894
84,87.5,0.651271
85,87.5,0.335369
86,84.375,0.384591
87,78.125,0.455489
88,81.25,0.482906
89,84.375,0.42988
90,90.625,0.253563
91,75,0.528211
92,87.5,0.274006
93,90.625,0.343238
94,90.625,0.376412
95,84.375,0.636828
96,81.25,0.619054
97,90.625,0.334441
98,93.75,0.268855
99,96.875,0.22642
100,96.875,0.162954
101,84.375,0.39757
102,93.75,0.167506
103,81.25,0.4374
104,96.875,0.250925
105,100,0.167363
106,90.625,0.411175
107,93.75,0.35695
108,93.75,0.227999
109,90.625,0.260004
110,90.625,0.323637
111,87.5,0.460656
112,87.5,0.26368
113,100,0.109086
114,96.875,0.197608
115,87.5,0.452192
116,81.25,0.516016
117,84.375,0.66137
118,90.625,0.311365
119,90.625,0.452622
120,87.5,0.363073
121,100,0.114162
122,93.75,0.252989
123,96.875,0.171039
124,93.75,0.20492
125,90.625,0.275342
126,93.75,0.281327
127,90.625,0.422421
128,93.75,0.483037
129,96.875,0.20174
130,81.25,0.557625
131,81.25,0.3574
132,96.875,0.240172
133,90.625,0.291647
134,84.375,0.445257
135,93.75,0.232911
136,93.75,0.319313
137,90.625,0.343557
138,90.625,0.235635
139,93.75,0.138816
140,84.375,0.424763
141,87.5,0.390728
142,93.75,0.151863
143,93.75,0.14212
144,96.875,0.186195
145,90.625,0.349581
146,81.25,0.517331
147,90.625,0.465673
148,96.875,0.137464
149,96.875,0.278895
150,81.25,0.360791
151,84.375,0.415916
152,87.5,0.323402
153,93.75,0.159083
154,93.75,0.286657
155,87.5,0.547502
156,90.625,0.393194
157,90.625,0.318577
158,96.875,0.196519
159,87.5,0.354019
160,93.75,0.233202
161,81.25,0.474828
162,71.875,0.779327
163,93.75,0.175023
164,100,0.153439
165,93.75,0.245818
166,84.375,0.444225
167,87.5,0.459819
168,96.875,0.340329
169,87.5,0.309837
170,93.75,0.214271
171,96.875,0.171538
172,96.875,0.181129
173,93.75,0.145677
174,81.25,0.466826
175,96.875,0.119213
176,84.375,0.404308
177,87.5,0.237982
178,90.625,0.229882
179,90.625,0.396467
180,90.625,0.339055
181,90.625,0.225568
182,90.625,0.284544
183,93.75,0.415553
184,90.625,0.214451
185,93.75,0.42689
186,93.75,0.259058
187,93.75,0.367739
188,100,0.0568052
189,96.875,0.125496
190,93.75,0.139525
191,87.5,0.339486
192,96.875,0.192882
193,100,0.0916039
194,96.875,0.145634
195,96.875,0.153549
196,84.375,0.458012
197,87.5,0.316944
198,96.875,0.164867
199,93.75,0.197773
200,93.75,0.198076
201,87.5,0.35738
202,93.75,0.175104
203,87.5,0.587233
204,87.5,0.297627
205,87.5,0.352081
206,96.875,0.177358
207,93.75,0.201448
208,93.75,0.223379
209,93.75,0.317941
210,93.75,0.24633
211,93.75,0.214103
212,96.875,0.144392
213,90.625,0.350083
214,84.375,0.373261
215,87.5,0.481755
216,93.75,0.37286
217,78.125,0.41906
218,93.75,0.252517
219,90.625,0.348018
220,84.375,0.68638
221,90.625,0.288379
222,96.875,0.11411
223,100,0.115618
224,87.5,0.471783
225,90.625,0.248853
226,75,0.471175
227,84.375,0.539835
228,87.5,0.429017
229,90.625,0.294089
230,87.5,0.32461
231,90.625,0.274786
232,100,0.115253
233,90.625,0.287166
234,96.875,0.157001
235,93.75,0.238688
236,84.375,0.424313
237,100,0.0706809
238,84.375,0.580617
239,93.75,0.275931
240,93.75,0.155222
241,96.875,0.0891832
242,93.75,0.29206
243,87.5,0.330131
244,100,0.14692
245,90.625,0.397987
246,87.5,0.393003
247,75,0.646936
248,93.75,0.150699
249,93.75,0.224246
250,87.5,0.319391
251,84.375,0.276873
252,96.875,0.144385
253,96.875,0.170338
254,81.25,0.786109
255,93.75,0.19055
256,96.875,0.116069
257,87.5,0.640148
258,87.5,0.402493
