Epoch,Accuracy,TrainLoss
1,6.25,2.3446
2,3.125,2.25848
3,31.25,2.04739
4,40.625,1.93203
5,40.625,2.00483
6,31.25,2.00931
7,75,1.60202
8,50,1.79656
9,56.25,1.78342
10,78.125,1.39781
11,68.75,1.46348
12,81.25,1.24706
13,78.125,1.29177
14,81.25,1.12722
15,81.25,1.07572
16,50,1.48405
17,62.5,1.29551
18,87.5,0.871762
19,90.625,1.09307
20,65.625,1.12221
21,68.75,1.06999
22,78.125,0.786348
23,71.875,0.87558
24,65.625,0.930603
25,78.125,0.793499
26,87.5,0.574897
27,75,0.903742
28,78.125,0.811426
29,78.125,0.849519
30,71.875,0.829951
31,90.625,0.503742
32,75,0.80081
33,65.625,0.817467
34,84.375,0.913369
35,78.125,0.791137
36,71.875,0.943349
37,90.625,0.445371
38,81.25,0.441413
39,78.125,1.12674
40,81.25,0.4983
41,81.25,0.487955
42,81.25,0.560006
43,75,0.948422
44,78.125,0.738848
45,78.125,0.509043
46,93.75,0.335254
47,90.625,0.373661
48,87.5,0.547041
49,87.5,0.419027
50,84.375,0.405286
51,81.25,0.485133
52,84.375,0.619749
53,90.625,0.513339
54,90.625,0.273797
55,93.75,0.346058
56,87.5,0.624263
57,84.375,0.490307
58,87.5,0.311436
59,84.375,0.469644
60,87.5,0.453873
61,81.25,0.494163
62,84.375,0.365143
63,87.5,0.435767
64,81.25,0.502728
65,84.375,0.489025
66,90.625,0.538156
67,93.75,0.319781
68,96.875,0.14688
69,87.5,0.383872
70,87.5,0.387982
71,93.75,0.240694
72,90.625,0.404404
73,90.625,0.406069
74,93.75,0.239699
75,81.25,0.496433
76,81.25,0.639304
77,87.5,0.42321
78,93.75,0.224598
79,93.75,0.134394
80,93.75,0.282163
81,90.625,0.269996
82,87.5,0.492446
83,81.25,0.534104
84,84.375,0.66415
85,87.5,0.338576
86,84.375,0.376926
87,75,0.401765
88,87.5,0.379633
89,87.5,0.379147
90,90.625,0.19939
91,78.125,0.655453
92,90.625,0.342064
93,87.5,0.338463
94,90.625,0.34342
95,87.5,0.535832
96,87.5,0.526017
97,93.75,0.29235
98,93.75,0.268903
99,96.875,0.219964
100,96.875,0.150956
101,81.25,0.388859
102,93.75,0.23311
103,84.375,0.549159
104,96.875,0.229582
105,96.875,0.225906
106,87.5,0.415718
107,93.75,0.404799
108,96.875,0.233324
109,87.5,0.334748
110,87.5,0.332071
111,87.5,0.512263
112,93.75,0.284254
113,100,0.110773
114,96.875,0.209153
115,90.625,0.418677
116,84.375,0.393542
117,87.5,0.58507
118,93.75,0.38928
119,87.5,0.396282
120,81.25,0.376536
121,96.875,0.171125
122,93.75,0.243656
123,100,0.140847
124,87.5,0.256953
125,90.625,0.276448
126,84.375,0.37444
127,90.625,0.318882
128,96.875,0.387951
129,93.75,0.169433
130,87.5,0.540643
131,87.5,0.442823
132,96.875,0.215796
133,90.625,0.238176
134,90.625,0.488341
135,93.75,0.218667
136,93.75,0.294098
137,87.5,0.445887
138,87.5,0.274121
139,96.875,0.135885
140,87.5,0.420039
141,90.625,0.474225
142,93.75,0.138717
143,93.75,0.133238
144,93.75,0.194023
145,90.625,0.351246
146,81.25,0.489063
147,90.625,0.386704
148,96.875,0.145903
149,96.875,0.336871
150,87.5,0.386507
151,84.375,0.362856
152,78.125,0.345278
153,96.875,0.147372
154,93.75,0.273094
155,84.375,0.537214
156,93.75,0.400127
157,93.75,0.271041
158,96.875,0.234587
159,84.375,0.424596
160,93.75,0.216792
161,84.375,0.459743
162,71.875,0.776832
163,90.625,0.21608
164,100,0.13082
165,96.875,0.252347
166,84.375,0.490278
167,87.5,0.388548
168,93.75,0.319203
169,87.5,0.256844
170,96.875,0.16141
171,96.875,0.151184
172,93.75,0.200189
173,96.875,0.171638
174,75,0.655909
175,96.875,0.143655
176,87.5,0.376496
177,84.375,0.334344
178,100,0.201501
179,90.625,0.37704
180,90.625,0.341627
181,93.75,0.179223
182,90.625,0.221578
183,93.75,0.477465
184,90.625,0.306156
185,93.75,0.392454
186,93.75,0.254838
187,90.625,0.436632
188,100,0.0551933
189,96.875,0.120961
190,93.75,0.213001
191,84.375,0.404842
192,96.875,0.261053
193,100,0.11452
194,96.875,0.184185
195,96.875,0.198614
196,81.25,0.501215
197,84.375,0.356991
198,93.75,0.248463
199,90.625,0.223343
200,93.75,0.174023
