Epoch,Accuracy,TrainLoss
1,12.5,2.22565
2,18.75,2.2645
3,6.25,2.25855
4,31.25,2.01684
5,43.75,1.77441
6,50,1.84882
7,75,1.72989
8,62.5,1.49966
9,37.5,1.98904
10,56.25,1.65436
11,37.5,1.75036
12,56.25,1.83409
13,93.75,1.20879
14,81.25,1.13846
15,62.5,1.45543
16,68.75,1.35765
17,56.25,1.42281
18,68.75,1.29737
19,81.25,0.890263
20,75,1.01417
21,68.75,1.05501
22,68.75,1.11415
23,87.5,0.846311
24,81.25,0.807722
25,75,0.912463
26,81.25,0.721023
27,81.25,0.685146
28,87.5,0.745747
29,81.25,0.85306
30,75,0.741313
31,75,1.14409
32,50,1.58277
33,75,0.749046
34,75,1.08841
35,81.25,0.641843
36,81.25,0.536305
37,75,0.949583
38,81.25,0.810084
39,81.25,0.58287
40,68.75,1.0561
41,75,0.694687
42,81.25,0.863311
43,75,0.453812
44,68.75,0.75226
45,68.75,0.816505
46,81.25,0.621618
47,81.25,0.676651
48,68.75,0.73625
49,62.5,1.04542
50,87.5,0.358427
51,93.75,0.387215
52,87.5,0.422512
53,68.75,0.938441
54,87.5,0.887696
55,75,0.785524
56,75,0.669117
57,68.75,1.0076
58,81.25,0.75214
59,75,0.56209
60,87.5,0.395779
61,75,0.618816
62,100,0.245482
63,56.25,0.759767
64,81.25,0.57973
65,43.75,0.976549
66,81.25,0.683484
67,68.75,0.697327
68,81.25,1.10373
69,81.25,0.728786
70,81.25,0.635203
71,75,0.952705
72,75,0.938258
73,93.75,0.315086
74,100,0.299265
75,87.5,0.302178
76,87.5,0.364622
77,75,0.615201
78,87.5,0.836278
79,81.25,0.410711
80,81.25,0.442746
81,75,0.765156
82,87.5,0.327119
83,93.75,0.323299
84,81.25,0.611929
85,81.25,0.979413
86,68.75,0.909061
87,75,0.869346
88,87.5,0.462024
89,81.25,0.458335
90,81.25,0.400214
91,75,0.492576
92,93.75,0.301517
93,93.75,0.449541
94,93.75,0.205441
95,81.25,0.788049
96,75,0.566293
97,93.75,0.355126
98,87.5,0.502444
99,81.25,0.507982
100,100,0.212416
101,93.75,0.413167
102,87.5,0.37452
103,93.75,0.362222
104,93.75,0.383313
105,87.5,0.612245
106,87.5,0.320106
107,100,0.128066
108,93.75,0.228376
109,87.5,0.261987
110,87.5,0.303791
111,100,0.232555
112,87.5,0.647681
113,87.5,0.27996
114,81.25,0.66046
115,93.75,0.430307
116,81.25,0.412497
117,81.25,0.591023
118,93.75,0.206796
119,100,0.182808
120,87.5,0.3769
121,81.25,0.497405
122,81.25,0.540026
123,93.75,0.183431
124,87.5,0.371585
125,100,0.143415
126,87.5,0.400359
127,87.5,0.33688
128,75,1.02403
129,93.75,0.176304
130,87.5,0.586404
131,93.75,0.221128
132,93.75,0.515497
133,93.75,0.236145
134,68.75,0.502818
135,100,0.0565797
136,93.75,0.224114
137,93.75,0.331148
138,93.75,0.227613
139,87.5,0.586067
140,100,0.154521
141,93.75,0.275114
142,93.75,0.1957
143,87.5,0.350542
144,93.75,0.152875
145,100,0.106262
146,87.5,0.639235
147,87.5,0.360548
148,81.25,0.457099
149,75,0.599338
150,87.5,0.348475
151,81.25,0.766358
152,81.25,0.457553
153,81.25,0.409817
154,81.25,0.371375
155,100,0.0963517
156,93.75,0.221655
157,100,0.0844574
158,100,0.105211
159,100,0.118485
160,87.5,0.379753
161,87.5,0.325122
162,93.75,0.205169
163,93.75,0.131998
164,81.25,0.699002
165,87.5,0.471105
166,87.5,0.167776
167,87.5,0.420383
168,87.5,0.808032
169,93.75,0.194731
170,81.25,0.469169
171,93.75,0.268865
172,87.5,0.457335
173,87.5,0.442636
174,93.75,0.203883
175,93.75,0.371693
176,87.5,0.463219
177,93.75,0.211601
178,81.25,0.402144
179,100,0.269978
180,100,0.0314192
181,75,0.418633
182,87.5,0.363879
183,100,0.104707
184,87.5,0.30423
185,87.5,0.434065
186,93.75,0.291414
187,87.5,0.375937
188,93.75,0.193755
189,93.75,0.319695
190,81.25,0.547513
191,93.75,0.232008
192,93.75,0.472423
193,100,0.14746
194,87.5,0.398354
195,100,0.181454
196,93.75,0.22118
197,100,0.156894
198,93.75,0.176051
199,93.75,0.19934
200,100,0.152337
201,87.5,0.564937
202,87.5,0.545893
203,100,0.0444629
204,93.75,0.194554
205,87.5,0.667913
206,81.25,0.354887
207,100,0.156363
208,93.75,0.23196
209,100,0.0442248
210,93.75,0.256221
211,87.5,0.63587
212,93.75,0.407895
213,93.75,0.544442
214,93.75,0.30883
215,93.75,0.323469
216,93.75,0.162107
217,93.75,0.18948
218,87.5,0.24934
219,93.75,0.200772
220,87.5,0.47819
221,87.5,0.585516
222,93.75,0.237119
223,93.75,0.119336
224,87.5,0.367911
225,93.75,0.124906
226,93.75,0.134736
227,93.75,0.193001
228,93.75,0.252711
229,93.75,0.262208
230,87.5,0.40781
231,81.25,0.948228
232,87.5,0.228625
233,93.75,0.422739
234,87.5,0.666622
235,100,0.140414
236,81.25,0.689849
237,93.75,0.230837
238,87.5,0.400235
239,87.5,0.526718
240,87.5,0.228396
241,100,0.0862668
242,100,0.0791157
243,93.75,0.482828
244,100,0.074504
245,93.75,0.206423
246,100,0.10321
247,100,0.0952215
248,87.5,0.230378
249,93.75,0.312527
250,93.75,0.180584
251,81.25,0.352565
252,93.75,0.248589
253,100,0.0764282
254,81.25,0.641525
